,Domestic,Commercial,Public
0,635.0,0.0,0.0
1,565.0,0.0,0.0
2,590.0,0.0,0.0
3,578.0,0.0,0.0
4,571.0,0.0,0.0
5,438.0,0.0,0.0
6,342.0,0.0,0.0
7,225.0,0.0,0.0
8,180.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,170.0,0.0,0.0
16,15.0,0.0,0.0
17,122.0,0.0,0.0
18,720.0,0.0,0.0
19,2280.0,0.0,0.0
20,2261.0,0.0,0.0
21,2249.0,0.0,0.0
22,955.0,0.0,0.0
23,681.0,0.0,0.0
24,580.0,0.0,0.0
25,529.0,0.0,0.0
26,616.0,0.0,0.0
27,468.0,0.0,0.0
28,573.0,0.0,0.0
29,306.0,0.0,0.0
30,432.0,0.0,0.0
31,260.0,0.0,0.0
32,175.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,185.0,0.0,0.0
40,20.0,0.0,0.0
41,126.0,0.0,0.0
42,753.0,0.0,0.0
43,2291.0,0.0,0.0
44,2222.0,0.0,0.0
45,2247.0,0.0,0.0
46,1042.0,0.0,0.0
47,578.0,0.0,0.0
48,463.0,0.0,0.0
49,610.0,0.0,0.0
50,660.0,0.0,0.0
51,553.0,0.0,0.0
52,560.0,0.0,0.0
53,402.0,0.0,0.0
54,432.0,0.0,0.0
55,180.0,0.0,0.0
56,170.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,205.0,0.0,0.0
64,35.0,0.0,0.0
65,140.0,0.0,0.0
66,772.0,0.0,0.0
67,2247.0,0.0,0.0
68,2272.0,0.0,0.0
69,2234.0,0.0,0.0
70,921.0,0.0,0.0
71,676.0,0.0,0.0
72,589.0,0.0,0.0
73,661.0,0.0,0.0
74,554.0,0.0,0.0
75,604.0,0.0,0.0
76,497.0,0.0,0.0
77,414.0,0.0,0.0
78,372.0,0.0,0.0
79,221.0,0.0,0.0
80,180.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,220.0,0.0,0.0
88,0.0,0.0,0.0
89,99.0,0.0,0.0
90,797.0,0.0,0.0
91,2269.0,0.0,0.0
92,2208.0,0.0,0.0
93,2181.0,0.0,0.0
94,871.0,0.0,0.0
95,566.0,0.0,0.0
96,611.0,0.0,0.0
97,587.0,0.0,0.0
98,597.0,0.0,0.0
99,635.0,0.0,0.0
100,622.0,0.0,0.0
101,348.0,0.0,0.0
102,396.0,0.0,0.0
103,262.0,0.0,0.0
104,130.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,205.0,0.0,0.0
112,35.0,0.0,0.0
113,127.0,0.0,0.0
114,849.0,0.0,0.0
115,2269.0,0.0,0.0
116,2280.0,0.0,0.0
117,2239.0,0.0,0.0
118,1049.0,0.0,0.0
119,555.0,0.0,0.0
120,599.0,0.0,0.0
121,662.0,0.0,0.0
122,512.0,0.0,0.0
123,537.0,0.0,0.0
124,625.0,0.0,0.0
125,330.0,0.0,0.0
126,444.0,0.0,0.0
127,205.0,0.0,0.0
128,240.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,185.0,0.0,0.0
136,30.0,0.0,0.0
137,102.0,0.0,0.0
138,796.0,0.0,0.0
139,2275.0,0.0,0.0
140,2249.0,0.0,0.0
141,2258.0,0.0,0.0
142,1061.0,0.0,0.0
143,576.0,0.0,0.0
144,526.0,0.0,0.0
145,590.0,0.0,0.0
146,525.0,0.0,0.0
147,659.0,0.0,0.0
148,593.0,0.0,0.0
149,456.0,0.0,0.0
150,432.0,0.0,0.0
151,239.0,0.0,0.0
152,210.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,170.0,0.0,0.0
160,40.0,0.0,0.0
161,100.0,0.0,0.0
162,718.0,0.0,0.0
163,2221.0,0.0,0.0
164,2318.0,0.0,0.0
165,2239.0,0.0,0.0
166,950.0,0.0,0.0
167,675.0,0.0,0.0
168,589.0,0.0,0.0
169,572.0,0.0,0.0
170,510.0,0.0,0.0
171,573.0,0.0,0.0
172,635.0,0.0,0.0
173,426.0,0.0,0.0
174,468.0,0.0,0.0
175,219.0,0.0,0.0
176,175.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,215.0,0.0,0.0
184,45.0,0.0,0.0
185,130.0,0.0,0.0
186,834.0,0.0,0.0
187,2271.0,0.0,0.0
188,2218.0,0.0,0.0
189,2249.0,0.0,0.0
190,966.0,0.0,0.0
191,556.0,0.0,0.0
192,590.0,0.0,0.0
193,613.0,0.0,0.0
194,581.0,0.0,0.0
195,591.0,0.0,0.0
196,484.0,0.0,0.0
197,396.0,0.0,0.0
198,366.0,0.0,0.0
199,204.0,0.0,0.0
200,225.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,195.0,0.0,0.0
208,25.0,0.0,0.0
209,90.0,0.0,0.0
210,766.0,0.0,0.0
211,2332.0,0.0,0.0
212,2258.0,0.0,0.0
213,2188.0,0.0,0.0
214,977.0,0.0,0.0
215,589.0,0.0,0.0
216,669.0,0.0,0.0
217,585.0,0.0,0.0
218,618.0,0.0,0.0
219,523.0,0.0,0.0
220,531.0,0.0,0.0
221,354.0,0.0,0.0
222,384.0,0.0,0.0
223,215.0,0.0,0.0
224,190.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,215.0,0.0,0.0
232,40.0,0.0,0.0
233,103.0,0.0,0.0
234,851.0,0.0,0.0
235,2214.0,0.0,0.0
236,2264.0,0.0,0.0
237,2286.0,0.0,0.0
238,916.0,0.0,0.0
239,565.0,0.0,0.0
240,606.0,0.0,0.0
241,624.0,0.0,0.0
242,488.0,0.0,0.0
243,600.0,0.0,0.0
244,619.0,0.0,0.0
245,408.0,0.0,0.0
246,402.0,0.0,0.0
247,244.0,0.0,0.0
248,185.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,195.0,0.0,0.0
256,25.0,0.0,0.0
257,106.0,0.0,0.0
258,690.0,0.0,0.0
259,2244.0,0.0,0.0
260,2192.0,0.0,0.0
261,2241.0,0.0,0.0
262,1027.0,0.0,0.0
263,696.0,0.0,0.0
264,612.0,0.0,0.0
265,691.0,0.0,0.0
266,509.0,0.0,0.0
267,680.0,0.0,0.0
268,497.0,0.0,0.0
269,360.0,0.0,0.0
270,426.0,0.0,0.0
271,238.0,0.0,0.0
272,180.0,0.0,0.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0,0.0,0.0
277,0.0,0.0,0.0
278,0.0,0.0,0.0
279,185.0,0.0,0.0
280,10.0,0.0,0.0
281,126.0,0.0,0.0
282,714.0,0.0,0.0
283,2264.0,0.0,0.0
284,2242.0,0.0,0.0
285,2209.0,0.0,0.0
286,1071.0,0.0,0.0
287,547.0,0.0,0.0
288,590.0,0.0,0.0
289,695.0,0.0,0.0
290,583.0,0.0,0.0
291,564.0,0.0,0.0
292,666.0,0.0,0.0
293,390.0,0.0,0.0
294,342.0,0.0,0.0
295,223.0,0.0,0.0
296,230.0,0.0,0.0
297,0.0,0.0,0.0
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
301,0.0,0.0,0.0
302,0.0,0.0,0.0
303,225.0,0.0,0.0
304,20.0,0.0,0.0
305,91.0,0.0,0.0
306,783.0,0.0,0.0
307,2313.0,0.0,0.0
308,2304.0,0.0,0.0
309,2245.0,0.0,0.0
310,1039.0,0.0,0.0
311,555.0,0.0,0.0
