,0
0,67
1,51
2,56
3,56
4,58
5,33
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,83
23,70
0,57
1,56
2,58
3,42
4,51
5,22
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,83
19,300
20,300
21,300
22,97
23,62
0,44
1,66
2,69
3,52
4,59
5,28
6,38
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,86
23,78
0,64
1,66
2,57
3,64
4,48
5,27
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,300
20,300
21,300
22,75
23,62
0,64
1,61
2,59
3,71
4,71
5,26
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,100
19,301
20,301
21,301
22,106
23,60
0,56
1,74
2,42
3,54
4,68
5,28
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,301
20,301
21,301
22,101
23,50
0,44
1,60
2,51
3,66
4,59
5,39
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,301
20,301
21,301
22,86
23,72
0,64
1,53
2,48
3,48
4,67
5,32
6,40
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,301
20,301
21,301
22,82
23,53
0,67
1,64
2,51
3,63
4,42
5,28
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,302
20,302
21,302
22,92
23,61
0,70
1,54
2,66
3,52
4,43
5,25
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,302
20,302
21,302
22,77
23,55
0,63
1,61
2,50
3,60
4,67
5,35
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,302
20,302
21,302
22,93
23,74
0,66
1,69
2,51
3,67
4,51
5,27
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,303
20,303
21,303
22,93
23,54
0,51
1,67
2,62
3,54
4,70
5,29
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,303
20,303
21,303
22,91
23,61
0,67
1,77
2,61
3,63
4,63
5,25
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,303
20,303
21,303
22,92
23,66
0,60
1,58
2,59
3,62
4,55
5,25
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,303
20,303
21,303
22,93
23,64
0,61
1,60
2,62
3,58
4,60
5,30
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,82
19,304
20,304
21,304
22,87
23,63
0,53
1,66
2,52
3,52
4,57
5,37
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,99
19,304
20,304
21,304
22,89
23,64
0,58
1,56
2,56
3,71
4,54
5,34
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,96
19,304
20,304
21,304
22,96
23,57
0,56
1,72
2,62
3,60
4,65
5,28
6,36
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,76
19,304
20,304
21,304
22,89
23,61
0,49
1,55
2,53
3,62
4,64
5,31
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,305
20,305
21,305
22,94
23,79
0,63
1,56
2,60
3,64
4,59
5,26
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,305
20,305
21,305
22,94
23,58
0,74
1,73
2,70
3,57
4,76
5,27
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,106
19,305
20,305
21,305
22,86
23,55
0,50
1,51
2,55
3,63
4,60
5,28
6,21
7,0
8,0
