,Domestic,Commercial,Public
0,557.0,0.0,0.0
1,569.0,0.0,0.0
2,690.0,0.0,0.0
3,642.0,0.0,0.0
4,608.0,0.0,0.0
5,408.0,0.0,0.0
6,348.0,0.0,0.0
7,213.0,0.0,0.0
8,175.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,220.0,0.0,0.0
16,25.0,0.0,0.0
17,86.0,0.0,0.0
18,827.0,0.0,0.0
19,2200.0,0.0,0.0
20,2290.0,0.0,0.0
21,2298.0,0.0,0.0
22,875.0,0.0,0.0
23,675.0,0.0,0.0
24,611.0,0.0,0.0
25,539.0,0.0,0.0
26,625.0,0.0,0.0
27,636.0,0.0,0.0
28,559.0,0.0,0.0
29,366.0,0.0,0.0
30,450.0,0.0,0.0
31,302.0,0.0,0.0
32,240.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,200.0,0.0,0.0
40,30.0,0.0,0.0
41,75.0,0.0,0.0
42,747.0,0.0,0.0
43,2275.0,0.0,0.0
44,2323.0,0.0,0.0
45,2251.0,0.0,0.0
46,980.0,0.0,0.0
47,608.0,0.0,0.0
48,576.0,0.0,0.0
49,537.0,0.0,0.0
50,643.0,0.0,0.0
51,617.0,0.0,0.0
52,656.0,0.0,0.0
53,342.0,0.0,0.0
54,390.0,0.0,0.0
55,223.0,0.0,0.0
56,210.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,190.0,0.0,0.0
64,20.0,0.0,0.0
65,95.0,0.0,0.0
66,763.0,0.0,0.0
67,2214.0,0.0,0.0
68,2264.0,0.0,0.0
69,2298.0,0.0,0.0
70,967.0,0.0,0.0
71,585.0,0.0,0.0
72,609.0,0.0,0.0
73,552.0,0.0,0.0
74,621.0,0.0,0.0
75,619.0,0.0,0.0
76,595.0,0.0,0.0
77,438.0,0.0,0.0
78,480.0,0.0,0.0
79,266.0,0.0,0.0
80,190.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,220.0,0.0,0.0
88,5.0,0.0,0.0
89,96.0,0.0,0.0
90,722.0,0.0,0.0
91,2222.0,0.0,0.0
92,2311.0,0.0,0.0
93,2182.0,0.0,0.0
94,1006.0,0.0,0.0
95,590.0,0.0,0.0
96,544.0,0.0,0.0
97,668.0,0.0,0.0
98,612.0,0.0,0.0
99,612.0,0.0,0.0
100,608.0,0.0,0.0
101,372.0,0.0,0.0
102,408.0,0.0,0.0
103,255.0,0.0,0.0
104,200.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,210.0,0.0,0.0
112,20.0,0.0,0.0
113,140.0,0.0,0.0
114,762.0,0.0,0.0
115,2214.0,0.0,0.0
116,2217.0,0.0,0.0
117,2287.0,0.0,0.0
118,1034.0,0.0,0.0
119,631.0,0.0,0.0
120,581.0,0.0,0.0
121,606.0,0.0,0.0
122,544.0,0.0,0.0
123,606.0,0.0,0.0
124,638.0,0.0,0.0
125,456.0,0.0,0.0
126,384.0,0.0,0.0
127,244.0,0.0,0.0
128,170.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,170.0,0.0,0.0
136,55.0,0.0,0.0
137,125.0,0.0,0.0
138,749.0,0.0,0.0
139,2241.0,0.0,0.0
140,2277.0,0.0,0.0
141,2273.0,0.0,0.0
142,991.0,0.0,0.0
143,568.0,0.0,0.0
144,596.0,0.0,0.0
145,564.0,0.0,0.0
146,532.0,0.0,0.0
147,501.0,0.0,0.0
148,671.0,0.0,0.0
149,372.0,0.0,0.0
150,348.0,0.0,0.0
151,208.0,0.0,0.0
152,155.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,200.0,0.0,0.0
160,25.0,0.0,0.0
161,122.0,0.0,0.0
162,751.0,0.0,0.0
163,2256.0,0.0,0.0
164,2316.0,0.0,0.0
165,2249.0,0.0,0.0
166,938.0,0.0,0.0
167,614.0,0.0,0.0
168,629.0,0.0,0.0
169,575.0,0.0,0.0
170,581.0,0.0,0.0
171,645.0,0.0,0.0
172,548.0,0.0,0.0
173,324.0,0.0,0.0
174,318.0,0.0,0.0
175,247.0,0.0,0.0
176,145.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,160.0,0.0,0.0
184,20.0,0.0,0.0
185,94.0,0.0,0.0
186,825.0,0.0,0.0
187,2216.0,0.0,0.0
188,2246.0,0.0,0.0
189,2173.0,0.0,0.0
190,981.0,0.0,0.0
191,548.0,0.0,0.0
192,531.0,0.0,0.0
193,591.0,0.0,0.0
194,621.0,0.0,0.0
195,483.0,0.0,0.0
196,649.0,0.0,0.0
197,342.0,0.0,0.0
198,402.0,0.0,0.0
199,253.0,0.0,0.0
200,240.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
