,0
0,54
1,55
2,68
3,64
4,71
5,36
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,75
23,67
0,59
1,51
2,67
3,58
4,51
5,26
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,84
23,59
0,55
1,57
2,67
3,64
4,63
5,27
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,83
19,300
20,300
21,300
22,90
23,60
0,60
1,54
2,58
3,68
4,63
5,40
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,77
19,300
20,300
21,300
22,102
23,64
0,52
1,72
2,66
3,57
4,54
5,29
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,91
19,300
20,300
21,300
22,98
23,63
0,51
1,61
2,53
3,59
4,66
5,36
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,85
23,57
0,60
1,57
2,59
3,43
4,67
5,28
6,20
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,90
23,65
0,59
1,59
2,63
3,65
4,48
5,25
6,24
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,300
20,300
21,300
22,83
23,60
0,53
1,57
2,60
3,45
4,68
5,28
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,76
19,300
20,300
21,300
22,89
23,54
0,58
1,56
2,61
3,66
4,57
5,25
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,300
20,300
21,300
22,89
23,69
0,66
1,60
2,65
3,59
4,59
5,32
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,80
23,55
0,67
1,65
2,63
3,65
4,53
5,34
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,85
19,300
20,300
21,300
22,96
23,64
0,59
1,57
2,63
3,60
4,56
5,25
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,95
19,300
20,300
21,300
22,91
23,65
0,63
1,49
2,56
3,60
4,69
5,26
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,104
19,300
20,300
21,300
22,103
23,56
0,51
1,75
2,49
3,56
4,65
5,32
6,43
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,95
23,58
0,66
1,68
2,68
3,55
4,54
5,31
6,23
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,73
19,300
20,300
21,300
22,99
23,61
0,68
1,49
2,57
3,66
4,55
5,26
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,104
19,300
20,300
21,300
22,93
23,60
0,67
1,60
2,65
3,55
4,56
5,34
6,30
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,94
23,60
0,64
1,51
2,58
3,67
4,55
5,33
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,100
19,300
20,300
21,300
22,91
23,58
0,72
1,61
2,64
3,53
4,64
5,23
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,80
23,56
0,68
1,51
2,58
3,46
4,44
5,36
6,47
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,74
23,49
0,68
1,55
2,64
3,55
4,70
5,32
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
21,300
22,95
23,56
0,59
1,53
2,59
3,64
4,65
5,20
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,88
19,300
20,300
21,300
22,92
23,62
0,65
1,70
2,52
3,51
4,56
5,38
6,27
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,98
19,300
20,300
21,300
22,108
23,66
0,58
1,55
2,69
3,62
4,61
5,39
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,93
19,300
20,300
21,300
22,88
23,70
0,52
1,60
2,47
3,49
4,47
5,27
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
