,Domestic,Commercial,Public
0,2759.0,0.0,0.0
1,1807.0,0.0,0.0
2,2044.0,0.0,0.0
3,2700.0,0.0,0.0
4,1817.0,0.0,0.0
5,2214.0,0.0,0.0
6,2012.0,0.0,0.0
7,2125.0,0.0,0.0
8,2340.0,0.0,0.0
9,1760.0,0.0,0.0
10,2200.0,0.0,0.0
11,1540.0,0.0,0.0
12,1320.0,0.0,0.0
13,1320.0,0.0,0.0
14,1760.0,0.0,0.0
15,1930.0,0.0,0.0
16,1120.0,0.0,0.0
17,2095.0,0.0,0.0
18,2839.0,0.0,0.0
19,4540.0,0.0,0.0
20,6865.0,0.0,0.0
21,7490.0,0.0,0.0
22,3429.0,0.0,0.0
23,2743.0,0.0,0.0
24,1201.0,0.0,0.0
25,1518.0,0.0,0.0
26,3087.0,0.0,0.0
27,2227.0,0.0,0.0
28,2032.0,0.0,0.0
29,2470.0,0.0,0.0
30,1578.0,0.0,0.0
31,3020.0,0.0,0.0
32,2765.0,0.0,0.0
33,1760.0,0.0,0.0
34,1540.0,0.0,0.0
35,2200.0,0.0,0.0
36,2200.0,0.0,0.0
37,1760.0,0.0,0.0
38,660.0,0.0,0.0
39,1090.0,0.0,0.0
40,1350.0,0.0,0.0
41,2750.0,0.0,0.0
42,2562.0,0.0,0.0
43,5190.0,0.0,0.0
44,6605.0,0.0,0.0
45,6440.0,0.0,0.0
46,3360.0,0.0,0.0
47,3157.0,0.0,0.0
48,2069.0,0.0,0.0
49,2275.0,0.0,0.0
50,2467.0,0.0,0.0
51,2063.0,0.0,0.0
52,2911.0,0.0,0.0
53,1174.0,0.0,0.0
54,2280.0,0.0,0.0
55,2780.0,0.0,0.0
56,3735.0,0.0,0.0
57,2200.0,0.0,0.0
58,1540.0,0.0,0.0
59,1760.0,0.0,0.0
60,1320.0,0.0,0.0
61,1760.0,0.0,0.0
62,1100.0,0.0,0.0
63,1105.0,0.0,0.0
64,1115.0,0.0,0.0
65,845.0,0.0,0.0
66,2782.0,0.0,0.0
67,5225.0,0.0,0.0
68,5745.0,0.0,0.0
69,6180.0,0.0,0.0
70,3630.0,0.0,0.0
71,3168.0,0.0,0.0
72,2242.0,0.0,0.0
73,1565.0,0.0,0.0
74,2523.0,0.0,0.0
75,2055.0,0.0,0.0
76,2194.0,0.0,0.0
77,1572.0,0.0,0.0
78,1150.0,0.0,0.0
79,2955.0,0.0,0.0
80,2900.0,0.0,0.0
81,1100.0,0.0,0.0
82,1320.0,0.0,0.0
83,1100.0,0.0,0.0
84,1540.0,0.0,0.0
85,1760.0,0.0,0.0
86,1540.0,0.0,0.0
87,3530.0,0.0,0.0
88,1770.0,0.0,0.0
89,2320.0,0.0,0.0
90,2265.0,0.0,0.0
91,4215.0,0.0,0.0
92,6635.0,0.0,0.0
93,5040.0,0.0,0.0
94,3072.0,0.0,0.0
95,1633.0,0.0,0.0
96,2020.0,0.0,0.0
97,2774.0,0.0,0.0
98,1920.0,0.0,0.0
99,2303.0,0.0,0.0
100,2072.0,0.0,0.0
101,1310.0,0.0,0.0
102,2184.0,0.0,0.0
103,3220.0,0.0,0.0
104,2425.0,0.0,0.0
105,1320.0,0.0,0.0
106,1320.0,0.0,0.0
107,1320.0,0.0,0.0
108,2420.0,0.0,0.0
109,1760.0,0.0,0.0
110,1320.0,0.0,0.0
111,2160.0,0.0,0.0
112,1150.0,0.0,0.0
113,2075.0,0.0,0.0
114,4354.0,0.0,0.0
115,4925.0,0.0,0.0
116,5740.0,0.0,0.0
117,6620.0,0.0,0.0
118,3077.0,0.0,0.0
119,3118.0,0.0,0.0
120,2669.0,0.0,0.0
121,2436.0,0.0,0.0
122,2034.0,0.0,0.0
123,2129.0,0.0,0.0
124,2059.0,0.0,0.0
125,2214.0,0.0,0.0
126,1234.0,0.0,0.0
127,2445.0,0.0,0.0
128,3405.0,0.0,0.0
129,1540.0,0.0,0.0
130,2200.0,0.0,0.0
131,2640.0,0.0,0.0
132,2420.0,0.0,0.0
133,1320.0,0.0,0.0
134,2420.0,0.0,0.0
135,2190.0,0.0,0.0
136,1785.0,0.0,0.0
137,1855.0,0.0,0.0
138,3512.0,0.0,0.0
139,5100.0,0.0,0.0
140,6205.0,0.0,0.0
141,6405.0,0.0,0.0
142,3213.0,0.0,0.0
143,3020.0,0.0,0.0
144,2027.0,0.0,0.0
145,2127.0,0.0,0.0
146,1448.0,0.0,0.0
147,3101.0,0.0,0.0
148,2522.0,0.0,0.0
149,1882.0,0.0,0.0
150,2226.0,0.0,0.0
151,2485.0,0.0,0.0
152,3750.0,0.0,0.0
153,440.0,0.0,0.0
154,1540.0,0.0,0.0
155,1540.0,0.0,0.0
156,1100.0,0.0,0.0
157,2420.0,0.0,0.0
158,2420.0,0.0,0.0
159,1375.0,0.0,0.0
160,2230.0,0.0,0.0
161,1665.0,0.0,0.0
162,3111.0,0.0,0.0
163,5390.0,0.0,0.0
164,6845.0,0.0,0.0
165,6210.0,0.0,0.0
166,4080.0,0.0,0.0
167,2289.0,0.0,0.0
168,2644.0,0.0,0.0
169,2150.0,0.0,0.0
170,1802.0,0.0,0.0
171,1658.0,0.0,0.0
172,2871.0,0.0,0.0
173,1994.0,0.0,0.0
174,1138.0,0.0,0.0
175,3245.0,0.0,0.0
176,3205.0,0.0,0.0
177,1980.0,0.0,0.0
178,1540.0,0.0,0.0
179,440.0,0.0,0.0
180,1760.0,0.0,0.0
181,1980.0,0.0,0.0
182,1100.0,0.0,0.0
183,1285.0,0.0,0.0
184,1565.0,0.0,0.0
185,2040.0,0.0,0.0
186,3026.0,0.0,0.0
187,5590.0,0.0,0.0
188,6840.0,0.0,0.0
189,6440.0,0.0,0.0
190,3444.0,0.0,0.0
191,3015.0,0.0,0.0
192,1646.0,0.0,0.0
193,1921.0,0.0,0.0
194,2490.0,0.0,0.0
195,2177.0,0.0,0.0
196,2035.0,0.0,0.0
197,3154.0,0.0,0.0
198,1346.0,0.0,0.0
199,3030.0,0.0,0.0
200,3725.0,0.0,0.0
201,1320.0,0.0,0.0
202,1980.0,0.0,0.0
203,2860.0,0.0,0.0
204,1100.0,0.0,0.0
205,2640.0,0.0,0.0
206,2860.0,0.0,0.0
207,850.0,0.0,0.0
208,2015.0,0.0,0.0
209,2845.0,0.0,0.0
210,2913.0,0.0,0.0
211,5125.0,0.0,0.0
212,7295.0,0.0,0.0
213,7275.0,0.0,0.0
214,4091.0,0.0,0.0
215,1647.0,0.0,0.0
216,1856.0,0.0,0.0
217,1352.0,0.0,0.0
218,2325.0,0.0,0.0
219,1719.0,0.0,0.0
220,1423.0,0.0,0.0
221,1114.0,0.0,0.0
222,1048.0,0.0,0.0
223,2540.0,0.0,0.0
224,2535.0,0.0,0.0
225,2640.0,0.0,0.0
226,1980.0,0.0,0.0
227,660.0,0.0,0.0
228,660.0,0.0,0.0
229,1760.0,0.0,0.0
230,1320.0,0.0,0.0
231,1975.0,0.0,0.0
232,1560.0,0.0,0.0
233,2730.0,0.0,0.0
234,2655.0,0.0,0.0
235,5120.0,0.0,0.0
236,6380.0,0.0,0.0
237,6430.0,0.0,0.0
238,2708.0,0.0,0.0
239,2739.0,0.0,0.0
240,1892.0,0.0,0.0
241,1796.0,0.0,0.0
242,1814.0,0.0,0.0
243,2947.0,0.0,0.0
244,1614.0,0.0,0.0
245,1994.0,0.0,0.0
246,1970.0,0.0,0.0
247,3105.0,0.0,0.0
248,2345.0,0.0,0.0
249,660.0,0.0,0.0
250,1980.0,0.0,0.0
251,1320.0,0.0,0.0
252,1100.0,0.0,0.0
253,1760.0,0.0,0.0
254,2200.0,0.0,0.0
255,3030.0,0.0,0.0
256,1585.0,0.0,0.0
257,2180.0,0.0,0.0
258,2850.0,0.0,0.0
259,4300.0,0.0,0.0
260,5995.0,0.0,0.0
261,5990.0,0.0,0.0
262,3744.0,0.0,0.0
263,2747.0,0.0,0.0
264,2664.0,0.0,0.0
265,2668.0,0.0,0.0
266,1345.0,0.0,0.0
267,2314.0,0.0,0.0
268,2271.0,0.0,0.0
269,1144.0,0.0,0.0
270,906.0,0.0,0.0
271,3465.0,0.0,0.0
272,3015.0,0.0,0.0
273,2420.0,0.0,0.0
274,2200.0,0.0,0.0
275,2420.0,0.0,0.0
276,2420.0,0.0,0.0
277,1320.0,0.0,0.0
278,1540.0,0.0,0.0
279,2380.0,0.0,0.0
280,900.0,0.0,0.0
281,2150.0,0.0,0.0
282,2252.0,0.0,0.0
283,4865.0,0.0,0.0
284,6825.0,0.0,0.0
