,0
0,89
1,77
2,79
3,80
4,77
5,39
6,42
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,119
19,400
20,400
21,400
22,114
23,88
0,86
1,68
2,72
3,72
4,77
5,45
6,43
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,112
19,400
20,400
21,400
22,125
23,82
0,84
1,80
2,77
3,83
4,76
5,49
6,50
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,127
19,400
20,400
21,400
22,115
23,83
0,77
1,75
2,88
3,80
4,69
5,42
6,45
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,115
19,400
20,400
21,400
22,117
23,83
0,75
1,89
2,95
3,83
4,87
5,35
6,34
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,124
19,400
20,400
21,400
22,117
23,73
0,69
1,71
2,74
3,89
4,84
5,39
6,59
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,117
19,400
20,400
21,400
22,123
23,95
0,77
1,92
2,88
3,71
4,82
5,57
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,106
19,400
20,400
21,400
22,125
23,84
0,69
1,60
2,77
3,88
4,71
5,39
6,43
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,121
19,400
20,400
21,400
22,124
23,90
0,86
1,61
2,80
3,67
4,80
5,49
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,133
19,400
20,400
21,400
22,131
23,87
0,86
1,72
2,90
3,64
4,83
5,39
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,120
19,400
20,400
21,400
22,103
23,84
0,92
1,76
2,79
3,82
4,84
5,39
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,125
19,400
20,400
21,400
22,134
23,82
0,74
1,73
2,75
3,89
4,76
5,44
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,102
19,400
20,400
21,400
22,101
23,90
0,78
1,76
2,83
3,77
4,71
5,35
6,40
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,116
19,400
20,400
21,400
22,117
23,89
0,80
1,88
2,93
3,76
4,76
5,34
6,40
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,113
19,400
20,400
21,400
22,125
23,81
0,79
1,84
2,77
3,84
4,89
5,54
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,121
19,400
20,400
21,400
22,103
23,81
0,79
1,78
2,75
3,83
4,79
5,49
6,45
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,118
19,400
20,400
21,400
22,126
23,79
0,86
1,63
2,67
3,74
4,78
5,40
6,47
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,128
19,400
20,400
21,400
22,122
23,69
0,85
1,76
2,70
3,87
4,78
5,35
6,47
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,107
19,400
20,400
21,400
22,118
23,85
0,69
1,75
2,77
3,71
4,92
5,43
6,44
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,113
19,400
20,400
21,400
22,121
23,80
0,75
1,73
2,82
3,94
4,79
5,35
6,38
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,129
19,400
20,400
21,400
22,117
23,74
0,90
1,85
2,85
3,79
4,60
5,36
6,33
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,124
19,400
20,400
21,400
22,117
23,86
0,85
1,78
2,86
3,88
4,70
5,41
6,38
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,107
19,400
20,400
21,400
22,127
23,74
0,76
1,80
2,77
3,75
4,79
5,42
6,51
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,116
19,400
20,400
21,400
22,114
23,66
0,82
1,79
2,65
3,74
4,92
5,39
6,43
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,114
19,400
20,400
21,400
22,122
23,90
0,72
1,70
2,75
3,90
4,84
5,37
6,46
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,121
19,400
20,400
21,400
22,134
23,89
0,65
1,72
2,81
3,89
4,85
5,30
6,29
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,114
19,400
20,400
21,400
22,119
23,90
0,85
1,79
2,88
3,82
4,81
5,47
6,47
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,113
19,400
20,400
21,400
22,127
23,74
0,79
1,102
2,76
3,96
4,81
5,38
6,41
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,104
19,400
20,400
21,400
22,113
23,80
0,82
1,85
2,87
3,64
4,82
5,42
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,100
19,400
20,400
21,400
22,128
