,Domestic,Commercial,Public
0,575.0,0.0,0.0
1,676.0,0.0,0.0
2,578.0,0.0,0.0
3,554.0,0.0,0.0
4,641.0,0.0,0.0
5,498.0,0.0,0.0
6,384.0,0.0,0.0
7,255.0,0.0,0.0
8,210.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,150.0,0.0,0.0
16,15.0,0.0,0.0
17,104.0,0.0,0.0
18,771.0,0.0,0.0
19,2249.0,0.0,0.0
20,2299.0,0.0,0.0
21,2208.0,0.0,0.0
22,1116.0,0.0,0.0
23,592.0,0.0,0.0
24,573.0,0.0,0.0
25,653.0,0.0,0.0
26,576.0,0.0,0.0
27,533.0,0.0,0.0
28,629.0,0.0,0.0
29,408.0,0.0,0.0
30,414.0,0.0,0.0
31,219.0,0.0,0.0
32,170.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,175.0,0.0,0.0
40,25.0,0.0,0.0
41,130.0,0.0,0.0
42,707.0,0.0,0.0
43,2244.0,0.0,0.0
44,2207.0,0.0,0.0
45,2254.0,0.0,0.0
46,948.0,0.0,0.0
47,493.0,0.0,0.0
48,641.0,0.0,0.0
49,601.0,0.0,0.0
50,564.0,0.0,0.0
51,651.0,0.0,0.0
52,587.0,0.0,0.0
53,330.0,0.0,0.0
54,420.0,0.0,0.0
55,229.0,0.0,0.0
56,200.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,175.0,0.0,0.0
64,20.0,0.0,0.0
65,106.0,0.0,0.0
66,697.0,0.0,0.0
67,2182.0,0.0,0.0
68,2284.0,0.0,0.0
69,2242.0,0.0,0.0
70,1086.0,0.0,0.0
71,600.0,0.0,0.0
72,582.0,0.0,0.0
73,497.0,0.0,0.0
74,600.0,0.0,0.0
75,643.0,0.0,0.0
76,605.0,0.0,0.0
77,444.0,0.0,0.0
78,414.0,0.0,0.0
79,277.0,0.0,0.0
80,215.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,225.0,0.0,0.0
88,15.0,0.0,0.0
89,115.0,0.0,0.0
90,890.0,0.0,0.0
91,2279.0,0.0,0.0
92,2249.0,0.0,0.0
93,2269.0,0.0,0.0
94,1134.0,0.0,0.0
95,541.0,0.0,0.0
96,745.0,0.0,0.0
97,613.0,0.0,0.0
98,638.0,0.0,0.0
99,655.0,0.0,0.0
100,647.0,0.0,0.0
101,354.0,0.0,0.0
102,402.0,0.0,0.0
103,181.0,0.0,0.0
104,225.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,205.0,0.0,0.0
112,10.0,0.0,0.0
113,90.0,0.0,0.0
114,763.0,0.0,0.0
115,2234.0,0.0,0.0
116,2300.0,0.0,0.0
117,2202.0,0.0,0.0
118,1000.0,0.0,0.0
119,605.0,0.0,0.0
120,480.0,0.0,0.0
121,583.0,0.0,0.0
122,706.0,0.0,0.0
123,513.0,0.0,0.0
124,560.0,0.0,0.0
125,384.0,0.0,0.0
126,348.0,0.0,0.0
127,227.0,0.0,0.0
128,215.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
