,0
0,55
1,71
2,65
3,49
4,61
5,40
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,104
23,58
0,54
1,68
2,54
3,55
4,66
5,33
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,81
19,300
20,300
21,300
22,88
23,51
0,58
1,68
2,52
3,73
4,59
5,28
6,35
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,81
19,300
20,300
21,300
22,103
23,60
0,61
1,48
2,64
3,69
4,64
5,28
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,111
19,300
20,300
21,300
22,112
23,50
0,69
1,62
2,61
3,64
4,61
5,32
6,31
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,86
19,300
20,300
21,300
22,87
23,62
0,56
1,58
2,81
3,53
4,52
5,27
6,25
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,101
19,300
20,300
21,300
22,105
23,55
0,72
1,58
2,68
3,64
4,46
5,30
6,37
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,102
19,300
20,300
21,300
22,106
23,72
0,70
1,55
2,58
3,49
4,57
5,37
6,17
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,92
19,300
20,300
21,300
22,83
23,72
0,54
1,57
2,77
3,65
4,67
5,30
6,28
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,94
19,300
20,300
21,300
22,81
23,63
0,49
1,62
2,54
3,71
4,53
5,29
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,89
19,300
20,300
21,300
22,88
23,46
0,58
1,61
2,55
3,57
4,61
5,30
6,39
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,87
19,300
20,300
21,300
22,96
23,59
0,60
1,62
2,60
3,62
4,71
5,28
6,32
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,90
19,300
20,300
